age,annual_income,credit_score,loan_amount,employment_years,existing_debt,loan_term_years,Grant_Loan
55,517650,510,1909712,11,673616,16,0
64,643031,343,1596064,17,366047,7,0
54,1290668,840,1193489,16,518790,4,1
23,1573259,391,668396,29,149725,20,1
57,1183581,564,829091,23,627867,11,1
63,352889,519,319637,10,479885,16,0
60,893221,741,119639,34,39339,20,1
46,1786292,700,1330028,22,418973,4,1
43,375006,699,1415103,16,889808,17,0
64,969727,789,1756930,0,304543,13,1
59,1389906,784,1823216,14,830445,11,1
35,1306351,769,359378,31,407922,3,1
24,1985516,744,1014795,8,955735,9,1
49,1516189,568,1751538,14,552197,6,1
42,490998,566,536084,27,518993,11,0
45,861616,353,1628458,23,994135,16,0
33,276256,827,1859771,34,712932,19,1
38,1151441,819,319515,21,479095,5,1
53,1609854,358,1670179,26,981271,14,0
36,1905587,339,1837500,18,157541,17,0
62,381360,536,1750115,11,132385,3,1
64,546874,685,282520,19,401063,4,1
22,618267,599,1702390,0,967726,16,0
55,1538106,694,1342035,20,992206,16,1
62,1491210,506,721986,0,141002,4,1
54,1133688,635,1971013,9,3285,19,1
50,233787,813,287330,31,385781,17,1
33,745909,477,1204149,38,560151,13,0
33,802272,695,974634,21,147776,1,1
38,1701584,670,187900,17,936209,12,1
52,1687045,617,369658,31,655915,4,1
52,511955,668,550364,26,545611,11,0
55,230447,683,1604316,27,333112,5,0
59,328046,361,1334283,17,984426,2,0
49,939290,804,1806600,38,53915,17,1
49,1765070,538,1603493,28,371687,8,1
64,1217541,494,1771819,17,665979,6,0
36,1934190,521,748419,7,203462,9,1
64,841147,360,1575870,30,784278,13,0
30,388490,428,1796868,33,894932,11,0
50,1232038,455,573116,6,507553,16,0
45,607688,677,1553061,35,976778,16,0
59,704409,736,563066,17,466389,2,1
40,1776335,506,1960994,37,938729,10,0
25,1486980,687,1970967,8,373410,12,1
21,1893176,779,314179,8,813171,8,1
50,716595,639,1208343,7,440924,11,0
23,1999740,639,483961,34,652329,10,1
34,863689,503,591529,17,53019,13,1
50,365937,460,627263,4,207226,17,0
24,1295426,839,204226,13,233169,7,1
38,1564940,691,1012454,27,531661,3,1
57,443306,833,541818,29,690641,20,1
45,1342384,369,106396,3,544475,13,1
21,1750173,704,1591019,38,854295,19,1
35,861757,816,168920,19,622215,7,1
29,428981,419,456547,24,762473,9,0
35,722220,516,244999,27,346229,19,1
44,1939461,355,1709090,11,117996,13,0
24,253072,665,1707583,1,563508,8,0
32,1994042,803,113014,13,392647,18,1
57,1856684,754,1662210,21,515971,2,1
57,1726322,403,644699,30,531930,18,1
63,1271860,376,235550,22,79971,18,1
26,283369,529,1766190,19,579844,11,0
59,1011554,557,1285382,37,426976,1,1
44,937266,563,1520413,3,824624,14,0
31,787100,630,1083994,14,517473,16,1
33,1518719,481,388585,23,397597,11,1
54,484580,849,1144697,24,751943,1,1
45,1906032,326,1094890,0,412774,7,0
27,723156,575,1835354,6,292926,16,0
24,969097,598,372341,30,266926,14,1
28,1667071,390,1183153,11,746777,15,0
40,452164,779,406778,4,185784,14,1
49,969605,757,1347682,37,236836,11,1
30,1536921,750,1534223,11,488161,16,1
63,350787,664,1085141,38,150534,19,1
54,360381,650,1591037,17,846462,17,0
46,1919014,699,1985219,1,723879,6,1
61,649830,552,710197,9,842843,11,0
23,1777969,758,555200,14,186278,17,1
26,1104098,798,1581817,29,97469,9,1
25,1605568,807,526379,16,571238,18,1
25,268920,603,1570871,3,395739,17,0
43,1030051,800,1504407,6,454142,12,1
29,1815685,465,575754,30,140749,5,1
55,850024,714,1915779,38,731188,11,1
40,1130997,761,1086149,33,146161,4,1
62,741357,413,396030,5,397797,4,0
55,1754235,732,378055,37,405123,3,1
38,207531,655,1852502,33,398825,17,0
37,630267,506,1512538,14,706513,7,0
44,1911672,534,138422,13,836971,4,1
23,1911646,741,1601676,5,437359,13,1
52,1315731,654,1065691,36,22936,12,1
55,1131479,814,385513,31,836614,1,1
58,1835288,507,1886901,2,501477,19,0
33,507747,424,1391293,2,897691,20,0
45,1140756,437,1719771,21,230596,18,0
29,674013,638,1008378,21,619330,11,0
24,332503,836,782722,9,799595,20,1
34,1978539,367,936388,2,782046,3,0
57,892841,840,1841396,11,977262,17,1
54,864917,682,1880957,28,177129,12,1
31,1614022,318,1525159,16,667897,10,0
61,1904098,749,1250847,6,546707,8,1
23,1152246,373,1084104,12,960082,15,0
48,219675,575,403548,1,730351,5,0
49,273997,347,1828264,3,645499,4,0
29,348087,510,894156,9,384906,20,0
